Priority,Status Indicator,Create Date,Created By,Requestor,Status Notes,Maintenance Date,Time of Maintenance,Description of Maintenance,User Impact (What's Affected?),Responsible IT Area,Impact Category,Purpose / Desired Result,Purpose Group,Point of Contact,Task Summary,Emergency / Time Senstive
,Completed,02/01/17 11:58 AM,web-form@smartsheet.com,Mike Burke,,02/01/17,,Change the iPACS web config value (used in the report cache) in PRODUCTION iPACS web app server,iPacs will temporarily be down,Multi-Team (Indicate groups in Additional Information),,prevent crystal reports from crashing,Fix / Patch,Roger Smith,"1.)    Stop iPACS web app application pool
2.)    Open the iPACS web config file
3.)    Locate the key=”ReportLimit”
4.)    Change the value from “-1” to “25”
5.)    Save the updated config file
6.)    Re-start the iPACS application pool

BACK OUT PLAN: Change ""ReportLimit"" back to original setting
....",
,Completed,01/24/17 8:50 AM,web-form@smartsheet.com,Roger Smith,Only the log server ; non user impacting,01/27/17,,increase CPU on server DBFS,,Multi-Team (Indicate groups in Additional Information),,"CPU has been hitting at or close to 100%, this impacts performance. Increase CPU to increase performance.",Preventive,Roger Smith,"1) shut down server
2) increase CPU
3) restart server
...

BACK OUT PLAN: 
....",
,Completed,01/31/17 10:31 AM,web-form@smartsheet.com,M&R,,01/26/17,,turned off the “Cache” feature defined on the iPACS web config in your Prod Server,ipacs production,Multi-Team (Indicate groups in Additional Information),,"We found that turning-off the “Cache” feature for the report template defined on iPACS web config, fixed the issue where the report parameter page hangs (after a report is loaded and/or another report is loading).",Fix / Patch,Enfotech,"1) turn off cache feature in web config 
2) reboot server
3)
...

BACK OUT PLAN: turn on cach feature, re-boot server
....",
,Completed,01/20/17 2:17 PM,web-form@smartsheet.com,Robert Beckman,,01/20/17,,Reboot of apps.mwrd.org and districtjobs.org on 1/20/2017 @ 10:00 pm,District Jobs,ERP / SAP,,To Resolve intermittent connection loss issue.,Fix / Patch,Kevin Young,Reboot apps.mwrd.org and districtjobs.org,TRUE
,Completed,01/13/17 11:21 AM,web-form@smartsheet.com,Mark Lopatka,,01/19/17,,Move USB-KEYMGR physical server from MOB 4th floor computer room to MOBA 2nd floor computer room. will take approximately 1 to 2 hours after 4:30 pm,"Pipeflow with VJ Patel, Powertools with Mathew Kattappurath and Joe Collins, RISA with VJ Patel, Structure Point with VJ Patel, MathCAD with VJ Patel. Mostly it's engineering.",Network Operations (Server / SAN),,Decommissioned of the MOB 4th floor computer room.,Fix / Patch,Ervin Cheng,"1) created full backup of server
2) shutdown server
3) disconnect all physical connections
4) move across the street and mount server and connections to new location
5) test all services and application with help from sys admins

BACK OUT PLAN: 

1) move back the server to original location and reconnect all connections
2) test all services and application with help from sys admins",
,Completed,11/08/16 8:53 AM,web-form@smartsheet.com,Ervin Cheng,Communication out to District by Monday January 5,01/14/17,,Stickney Switch replacement 2p-6p,"3par, UCS, DDO, Replication, All Application, SAP, and Operations servers.",Network Operations (Server / SAN),,Remove Old 4/24 SAN Switch with new refurbish SAN Switch 8/32,Fix / Patch,ervin cheng,"1) Move one fabric at a time to minimize the impact
2) Finish one switch, then do the other switch
3) Test if everything is move successfully and packets are flowing in all ports
...

BACK OUT PLAN: 
Move back the fabrics and make sure all ports are flowing again",
,Completed,01/10/17 11:39 AM,web-form@smartsheet.com,Kevin Young,,01/10/17,,"Load SAP Year End Updates SAP_HR & EA_HR support levels A6, A7 and A8.",,ERP / SAP,,Year end updates to SAP for last minute tax changes.,Fix / Patch,Kevin Young,Load the three support level updates for SAP HR,TRUE
,Completed,01/05/17 6:59 PM,web-form@smartsheet.com,M&O,Application Development Unit (LIMS and IPACS Team),01/05/17,,"1. Deploy new iPACS release (20161202) to iPACS Production System (IPACPRDAPP)
2. Deploy SummaryDataService.Core.dll to IPACS Production System (IPACPRDAPP)",IPACS Production System,Multi-Team (Indicate groups in Additional Information),,"Address the following reported IPACS Production System issues:
1. Make Crystal Reports Downloadable/Uploadable from iPACS (Issue ID #25)
2. Waste Hauler Discharge Type Dropdown (Issue ID #24)
3. REF_YEAR_CYCLE Table (Issue ID #5)
4. Production Rate Units (Issue ID #3)
5. SMR vs. District Sampling Error for 27657 3A June 2016 (Issue ID #15)
6. Missing unit issue on the monthly average calculation",Fix / Patch,Chentile Jackson/Roger Smith,"1) Stop IPACS Application Pool
2) Make a backup of the live IPACS.Website 
3) Copy latest IPACS Website Application files from EnfoTech FTP site, ftp://ftp.enfotech.com to IPACPRDAPP.
4) Copy the new IPACS Website Application files to the IPACS.Website folder
5) Run DB Scripts
6) Run Configuration Upload Tool
7) Restart IPACS Application Tool
8) Test that everything is working in the iPACS Production System.
...

BACK OUT PLAN: 
1.  Restore IPACS.Website from backup.
....",
,Completed,01/05/17 1:50 PM,web-form@smartsheet.com,Ronald Thompson,Application Development Team,01/05/17,,Move code changes for S_CORR calculation and add SEED_BOTTLE field to BATCH_HEADER table.,The LIMS production system will be impacted.,Multi-Team (Indicate groups in Additional Information),,Laboratory users will be able to use the seeded bottle when processing BOD samples.,Enhancement,Ronald Thompson,"1) Send email notifying lab managers of time of planned change and that users should log out of the system by 2pm.
2) Move S_CORR calculation  to production system.
3) Add SEED_BOTTLE field to BATCH_HEADER table.
4) Verify that changes outlined above are working in production system.
5) Notify users that system is ready for use.
...

BACK OUT PLAN: 
1) Copy back and compile backup copy of original S_CORR code.
2) Remove SEED_BOTTLE field from batch header table",
,Completed,01/05/17 4:02 PM,web-form@smartsheet.com,M&O,Application Development Unit (LIMS and IPACS Team),01/03/17,,Deploy new iPACS release (20161202) to iPACS Production System (IPACPRDAPP),IPACS Production System,Multi-Team (Indicate groups in Additional Information),,"Address the following reported IPACS System issues:
Make Crystal Reports Downloadable/Uploadable from iPACS (Issue ID #25)
Waste Hauler Discharge Type Dropdown (Issue ID #24)
REF_YEAR_CYCLE Table (Issue ID #5)
Production Rate Units (Issue ID #3)
SMR vs. District Sampling Error for 27657 3A June 2016 (Issue ID #15)",Fix / Patch,Chentile Jackson,"1) Stop IPACS Application Pool
2) Make a backup of the live IPACS.Website
3) Copy latest IPACS Website Application files from EnfoTech FTP site ftp://ftp.enfotech.com to IPACPRDAPP
4.) Copy the IPACS Website Application files to the live IPACS.Website folder
5.) Run DB Scripts
6.) Run Configuration Upload Tool
7.) Restart IPACS Application Pool
8.) Test that everything is working in the iPACS Production System
...

BACK OUT PLAN: 
....",
,Completed,10/20/16 9:32 AM,web-form@smartsheet.com,Kevin Young,,12/27/16,,Disaster Recovery System Reboots with Patching,No user impact. Our Disaster Recovery system will be down during the reboots,ERP / SAP,,Preventive Maintenance. Microsoft best practice is to reboot Windows Servers monthly,Preventive,Kevin Young,"Shutdown Order
a. MWRDECCDR0
b. MWRDECCDR1
c. MWRDECCDR2
d. MWRDNBWDR1
e. MWRDBOBDR1
f. MWRDCEPDR1
g. MWRDPBFDR1
h. MWRDNDIDR1
i. MWRDNEPDR0
j. MWRDNEPDR1
k. MWRDNEPDR2
l. MWRDDRDB
Restart Order
m. MWRDDRDB
n. MWRDECCDR0
o. MWRDECCDR1
p. MWRDECCDR2
q. MWRDNBWDR1
r. MWRDBOBDR1
s. MWRDCEPDR1
t. MWRDPBFDR1
u. MWRDNDIDR1
v. MWRDNEPDR0
w. MWRDNEPDR1
x. MWRDNEPDR2",
,Completed,12/22/16 10:12 AM,web-form@smartsheet.com,Erin Johnson,,12/21/16,,Upgrade the Legal Files software for Law Department from Legal Files Web 9.2 Build 5 to Web 9.2 Build 18. This upgrade was performed by Sharma using the attached documentation.,The system will be unavailable for 20 minutes.,ERP / SAP,,Legal File compliance,Preventive,Kevin Young,Sharma performed the upgrade following the attached Legal Files documentation.,
,Completed,12/06/16 10:56 AM,web-form@smartsheet.com,Patrick sendera,Revisit targeted groups for GIS notifications,12/21/16,,ArcGIS SDE database upgrade from 10.3.1 to 10.4.1,All GIS applications and service will experience interruption of up to 1 hour from 4:30 to 5:30 PM,GIS,,To bring the entire GIS server software stack up to version 10.4.1 and complete the 10.4.1 upgrade completely by the end of 2016,Enhancement,Patrick sendera,"1) Back up SQL databases
2)Shutdown GIS services
3)Run upgrade tool
4) Restart GIS services
5) Verify applications and services
...

BACK OUT PLAN: 
.... Restore databases",
,Completed,12/16/16 3:26 PM,web-form@smartsheet.com,Roger Smith,cleared with Donna Coolidge and Diane Moe,12/19/16,,Move committed tables to production,"LIMS will be down for about 15 minutes, starting 3:30",Multi-Team (Indicate groups in Additional Information),,"Merge historic database into production, reducing the number of databases, and giving the users all their data in one place",Enhancement,Roger Smith,"1) create table space for committed tables, copy data into database (users do not have to be off the system for this)
2) shutdown LIMS, update structure.txt (10 minutes?)
3) re-start LIMS
4) users verify data


BACK OUT PLAN: 
shutdown LIMS, run prior version of Structure, re-start LIMS",
,Completed,10/20/16 9:27 AM,web-form@smartsheet.com,Kevin Young,,12/17/16,,Server Reboots starting at 10pm for Security Patches,"SAP, PBF, and the District Website will all be impacted during the rebooting schedule.",ERP / SAP,,Preventive Maintenance. Microsoft best practice is to reboot Windows Servers monthly.,Preventive,Kevin Young,"Server shutdown order
a. MWRDECCP0
b. MWRDECCP1
c. MWRDNBWP0
d. MWRDNDIP1
e. MWRDBOBP1
f. MWRDPBFP1
g. MWRDCEPP1
h. MWRDPRDDB
Server restart order
i. MWRDPRDDB
j. MWRDECCP0
k. MWRDECCP1
l. MWRDNBWP0
m. MWRDNDIP1
n. MWRDBOBP1
o. MWRDPBFP1
p. MWRDCEPP1
Server shutdown order
q. MWRDNEPP1
r. MWRDNEPP2
s. MWRDNEPP0
Server restart order
t. MWRDNEPP0
u. MWRDNEPP1
v. MWRDNEPP2",
,Completed,10/03/16 4:08 PM,web-form@smartsheet.com,Richard Wojkovich,*Make note of LIMS DBFS connection (Dependency RESOLVED AS OF 12/3/16),12/17/16,,Replace 3750 Switch at Stickney Water Reclamation Plant with new ASR router,Administrative data and voice network will be down during replacement window (Sat 2:00 pm - 6:00 pm).,Network Infrastructure,,Enhance WAN throughput by replacing antiquated equipment.,Enhancement,Ethan Warren,"Task Summary:
1) Rack/Install new pre-configured router.
2) Backup configuration of existing router and local switch.
3) Make necessary changes to existing local switch to enable connectivity to new router.
4) Move wired connection from existing WAN switch to new router and test connectivity to ASE network.
5) Connect local switch to router and test connectivity.
...
BACK OUT PLAN: Return WAN connection to old 3750 switch, reprogram local switch with original configuration and ensure connectivity to WAN is restored.
…",
,Completed,12/06/16 9:51 AM,web-form@smartsheet.com,Kevin Young,,12/16/16,,SAP Hotpack Updates beginning at COB 12/16/2016,SAP and ESS will be unavailable for the weekend of December 16th,ERP / SAP,,Compliance,Preventive,Kevin Young,1. Load all SAP hotpack updates into PRD,
,Completed,11/29/16 9:46 AM,web-form@smartsheet.com,Ervin Cheng,Will be doing this at 10 a.m. to 11 a.m. should only take 30 minutes.,12/03/16,,KCServer ie. kofax needs to have commcell moved to F64FE.  This is the version 10 commcell that will still be active and backing systems.,KCServer ie. kofax is our fax server that purchasing and other departments use to send and receive fax.,Network Operations (Server / SAN),,Continue of backing up the server to provide a DRS plan and also speedy recovery.,Preventive,Ervin Cheng,"1) un-install old commvault agent
2) install new commvault agent which will point to new commcell.
3) reboot.
BACK OUT PLAN: 
1) uninstall new commvault agent
2) reinstall old commvault agent",TRUE
,Completed,11/29/16 9:55 AM,web-form@smartsheet.com,ervin cheng,Work will be done during MOB router upgrade,12/02/16,,ms patching of DMZ servers.,"webapps, devapps, gispub, ftpmwrd, mwrdnepqz1, mwrdneppz1, mwrdveeam will need to have ms patch installed and updated. Not monitored in wsus.  Will work on during MOB outage. All web applications, ie. district jobs, mwrd portal, gis will be affected.",Network Operations (Server / SAN),,More stable and reliable systems. Prevention of vulnerabilities and patch holes in OS level.,Fix / Patch,ervin cheng,"1) ms patching
2) restart
3) more patching if necessary
BACK OUT PLAN: 
1) veeam bk and restored",
,Completed,11/01/16 1:39 PM,web-form@smartsheet.com,Kevin Young,"SAP ECC - system corruption immediately upon apply patches. Decision made to restore snapshot taken immediately before work began. Besides restoring the ECC database, accidentally restored BW, PBF portal, CE Portal, BOBJ, and DID databases. Instead of restoring a single database, the entire database server was restored. At this time, it does not appear any data was lost from the other databases due to the network outage at MOB immediately after taking the snapshot. The hotpack updates will be rescheduled for 12/16-18.",12/02/16,,Annual SAP (HR & Payroll only) Hotpack Updates beginning at COB 12/2/2016 - 12/4/16,SAP and ESS will be unavailable for the weekend of December 2nd,ERP / SAP,,Compliance,Preventive,Kevin Young,1. Load all SAP hotpack updates into PRD,
,Completed,10/03/16 3:50 PM,web-form@smartsheet.com,Richard Wojkovich,,12/02/16,,Replace 3750 WAN switch at MOB with ASR router,Administrative data and voice network will be down during replacement window (4:30 pm - 7:00 pm). Including Internet and email.,Network Infrastructure,,Enhance WAN throughput by replacing antiquated equipment.,Enhancement,Ethan Warren,"1) Rack/Install new pre-configured router.
2) Backup configuration of existing router and local switch.
3) Make necessary changes to existing local switch to enable connectivity to new router.
4) Move wired connection from existing WAN switch to new router and test connectivity to ASE network.
5) Connect local switch to router and test connectivity.
...
BACK OUT PLAN: Return WAN connection to old 3750 switch, reprogram local switch with original configuration and ensure connectivity to WAN is restored.

....",
,Completed,11/30/16 1:09 PM,web-form@smartsheet.com,Roger Smith,Work to start at 3:30 as this is between shifts for the lab. Already cleared with D. Coolidge.,12/01/16,,"Shutdown LIMS/IPACS database, move the control file, restart DB",LIMS/IPACS will be down for about 10 minutes,Multi-Team (Indicate groups in Additional Information),,Moving the control file will decrease the chance of an unexpected DB shutdown when we have network issues ; No Dependency on future File Server Maintenance,Preventive,Roger Smith,"1) shutdown DB
2) move control file
3) start DB


BACK OUT PLAN: 
move control file back to original location, re-start DB",
,Completed,11/18/16 9:45 AM,web-form@smartsheet.com,Roger Smith,Wed Nov 30 ; This hosts a Oracle DB reference/tnsname entry that references ED Dashboard,11/30/16,,VaxPRD DB to be moved from Unix to Windows server,PurCon system will be down,Multi-Team (Indicate groups in Additional Information),,We are moving all databases off of unix to windows so we can shut down the unix servers,Preventive,Roger Smith,"1) shut down DB
2) export DB
3) import DB to new server
4) open DB, test application

BACK OUT PLAN: fall back to old server
....",
,Completed,11/18/16 9:49 AM,web-form@smartsheet.com,Roger Smith,Completed,11/28/16,,move BPT DB to new server,BPT will be down,Multi-Team (Indicate groups in Additional Information),,move DB off of unix so we can shut down the unix server,Preventive,Roger Smith,"1) shut down DB
2) export DB
3) import to new server
4) open DB, test application

BACK OUT PLAN: fall back to old server
....",
,Completed,11/18/16 9:23 AM,web-form@smartsheet.com,Roger Smith,Completed,11/28/16,,move TRMS DB from Unix to new windows server (oracle->oracle),TRMS system will be down,Multi-Team (Indicate groups in Additional Information),,"Move TRMS off of Unix, so we can decommision the unix server",Preventive,Roger Smith,"1) shut down TRMS
2) export DB
3) import to new location
4) open DB, test application

BACK OUT PLAN: open DB on old server
....",
,Completed,10/20/16 9:30 AM,web-form@smartsheet.com,Kevin Young,Production hasn't been done ; Postponing,11/28/16,,Disaster Recovery System Reboots with Patching,No user impact. Our Disaster Recovery system will be down during the reboots,ERP / SAP,,Preventive Maintenance. Microsoft best practice is to reboot Windows Servers monthly,Preventive,Kevin Young,"Shutdown Order
a. MWRDECCDR0
b. MWRDECCDR1
c. MWRDECCDR2
d. MWRDNBWDR1
e. MWRDBOBDR1
f. MWRDCEPDR1
g. MWRDPBFDR1
h. MWRDNDIDR1
i. MWRDNEPDR0
j. MWRDNEPDR1
k. MWRDNEPDR2
l. MWRDDRDB
Restart Order
m. MWRDDRDB
n. MWRDECCDR0
o. MWRDECCDR1
p. MWRDECCDR2
q. MWRDNBWDR1
r. MWRDBOBDR1
s. MWRDCEPDR1
t. MWRDPBFDR1
u. MWRDNDIDR1
v. MWRDNEPDR0
w. MWRDNEPDR1
x. MWRDNEPDR2",
,Completed,11/22/16 9:23 AM,web-form@smartsheet.com,ervin cheng,,11/25/16,,Move beta and mob_blmgr using vm converter from mob datacenter 4th floor mob to annex 2nd floor telephone room.,"All systems shouldn't be affected, only server that have static entries can't authenticate to beta.  DHCP will be down for about 2 hour and shouldn't affect any users if they already login in the morning and their lease isn't up for renew.",Network Operations (Server / SAN),,decommission mob 4th floor computer room and move systems to a more stable environment,Preventive,ervin cheng,"1) shutdown server
2) use vm comverter to move vm to another vm host
3) startup new vm host.
...

BACK OUT PLAN: 
1) delete vm converter server
2) bring back old vm by turning it back on
3) verify all services and system operations",
,Completed,11/01/16 11:52 AM,web-form@smartsheet.com,Patrick sendera,See below for task summary,11/25/16,,ArcGIS Server software upgrade to version 10.4.1,All GIS applications and services will be unavailable during this period.  This includes all public and enterprise GIS.  Maintenance/upgrade to begin at 6AM.  All systems should be on-line and fully functional by 12PM,GIS,,Upgrade to version 10.4.1,Enhancement,Patrick sendera,"1) See attached for task summary/plan
2)
3)
...

BACK OUT PLAN: 
Restore snapshots",
,Completed,10/06/16 10:30 AM,web-form@smartsheet.com,Ethan Warren,Pushed to 11/25/16 ; 4:30pm.,11/25/16,,Move current user connections from MOB 3750 switch to MOB2_access switch to facilitate connectivity for the devices once the 3750 is replaced with new ASR router.,MOB/A building engineer may experience minor connection interruption on cables are moved between switches.,Network Infrastructure,,Prepare MOB 3750 switch for replacement.,New Implementation,Ethan Warren,"1) Configure access switch with proper VLANs to accept new connections
2) Move connections from 3750 to configured ports on access switch
3) Test connectivity
...

BACK OUT PLAN: Move connections back onto the 3750 switch
....",
,Completed,11/22/16 4:02 PM,web-form@smartsheet.com,"M&R (Burke, Goldrich)",requested by M&R to move this to prd as soon as possible; Finance is on board with the change and the timing of the reboot,11/23/16,,"copy updated DLL file to production, reboot server","IPACS will be down for about 15 minutes, starting at noon",Multi-Team (Indicate groups in Additional Information),,This will address missing units on monthly violations report,Fix / Patch,Roger Smith,"1) turn off IIS (remove users from application)
2) backup DLL file
2) copy new DLL (summaryDataService.core.dll)
3) reboot

BACK OUT PLAN: restore old DLL
....",
,Completed,11/18/16 9:11 AM,web-form@smartsheet.com,Roger Smith,,11/21/16,,move Police DB to new server,police DB will be down,Multi-Team (Indicate groups in Additional Information),,Police DB will be on new server,Preventive,Roger Smith,"1) shut down DB
2) export DB
3) import DB to new server
4) rename server
5) open DB, verify application still connects and works

BACK OUT PLAN: open DB on old server
....",
,Completed,10/18/16 2:57 PM,web-form@smartsheet.com,Kevin Young,,11/19/16,,Server Reboots starting at 10pm for Security Patches,"SAP, PBF, and the District Website will all be impacted during the rebooting schedule.",ERP / SAP,,Preventive Maintenance. Microsoft best practice is to reboot Windows Servers monthly.,Preventive,Kevin Young,"Server shutdown order
a. MWRDECCP0
b. MWRDECCP1
c. MWRDNBWP0
d. MWRDNDIP1
e. MWRDBOBP1
f. MWRDPBFP1
g. MWRDCEPP1
h. MWRDPRDDB
Server restart order
i. MWRDPRDDB
j. MWRDECCP0
k. MWRDECCP1
l. MWRDNBWP0
m. MWRDNDIP1
n. MWRDBOBP1
o. MWRDPBFP1
p. MWRDCEPP1
Server shutdown order
q. MWRDNEPP1
r. MWRDNEPP2
s. MWRDNEPP0
Server restart order
t. MWRDNEPP0
u. MWRDNEPP1
v. MWRDNEPP2",
,Completed,10/03/16 4:13 PM,web-form@smartsheet.com,Richard Wojkovich,Saturday,11/19/16,,Replace 3750 WAN switch at ZAYO/ Latisys,Administrative data and voice network will be down during replacement window 2:00 pm - 6:00 pm).,Network Infrastructure,,Enhance WAN throughput by replacing antiquated equipment.,Enhancement,Ethan Warren,"1) Rack/Install new pre-configured router.
2) Backup configuration of existing router and local switch.
3) Make necessary changes to existing local switch to enable connectivity to new router.
4) Move wired connection from existing WAN switch to new router and test connectivity to ASE network.
5) Connect local switch to router and test connectivity.
...
BACK OUT PLAN: Return WAN connection to old 3750 switch, reprogram local switch with original configuration and ensure connectivity to WAN is restored.
…",
,Completed,11/08/16 9:02 AM,web-form@smartsheet.com,ervin cheng,,11/18/16,,Microsoft OS Patching to provide a more reliable and secured file shared service,"WILDCAT,  RAPTOR,  FALCON,  TOMCAT,  EGN-DFS, Printing services and network copiers may also experience intermittent connectivity disruptions. This is for catch-up maintenance work.",Network Operations (Server / SAN),,ensure system is up-to-date on windows system patches and security vulnerabilities are eliminated.,Fix / Patch,ervin cheng,"1) install windows updates
2) reboot
3) apply addidtional patches, if needed
...

BACK OUT PLAN: 
recover from san snapshot",
,Completed,11/07/16 4:32 PM,web-form@smartsheet.com,LaShun Osborn,,11/18/16,,SUMMATION server: Reboot to apply Windows Updates after hours (4:45pm.) Approval per listed admin contact provided in Supporting Documentation.,Summation (Law) access.,Network Operations (Server / SAN),,Ensure system is up-to-date on Windows system patches.,Fix / Patch,Ervin Cheng,"1) Install Windows Updates.
2) Reboot
3) Apply additional patches, if necessary.
...

BACK OUT PLAN:
Recover system from SAN snapshot
....",
,Completed,11/08/16 9:02 AM,web-form@smartsheet.com,ervin cheng,,11/17/16,,Microsoft OS Patching to provide a more reliable and secured file shared service,"COBRA,   BLACKBIRD,  EAGLE,  HAWK, MUSTANG this servers will be patched with new OS patches and will be rebooted. This is for catch-up maintenance work.",Network Operations (Server / SAN),,ensure system is up-to-date on windows system patches and security vulnerabilities are eliminated.,Fix / Patch,ervin cheng,"1) install windows updates
2) reboot
3) apply addidtional patches, if needed
...

BACK OUT PLAN: 
recover from san snapshot",
,Completed,11/15/16 10:46 AM,web-form@smartsheet.com,Jackie Torres - Finance Dept,,11/16/16,,"Workforce Empcenter SaaS upgrade from v9.6.1.13 to v16.2.0.1.
This entry is for reference only. The project and all communications are managed by the Finance Dept.",,Multi-Team (Indicate groups in Additional Information),,Workforce Empcenter SaaS upgrade from v9.6.1.13 to v16.2.0.1.,Fix / Patch,Joel Sia / Andy Dziadkowiec,"Please note the following for 11/16/2016 only:
•	EmpCenter will NOT be available from 7:00 am – 5:00 pm.

•	All employees must clock in and out using a Wall-mounted clock as the Mobile and Web clocks will not be available.

•	Your supervisor or timekeeper will enter a Clock Override on 11/17/16 if you were unable to clock in and out at a Wall-mounted clock during the upgrade.

An updated Time and Attendance User Manual can be found on the server at:
Falcon – Personnel – Public Access – Time and Attendance Manuals",
,Completed,11/07/16 3:23 PM,web-form@smartsheet.com,LaShun Osborn,,11/16/16,,IRIS2003 - Reboot to apply Windows Updates to system on 11/16 after hours (4:45pm). Admin approval included in additional info.,"IRIS2003, real estate mgmt. database.",Network Operations (Server / SAN),,Ensure system is up-to-date on Windows system patches.,Fix / Patch,Ervin Cheng,"1) Install Windows Updates.
2) Reboot
3) Apply additional patches, if necessary.
...

BACK OUT PLAN:
Recover system from SAN snapshot
....",
,Completed,11/15/16 9:16 AM,web-form@smartsheet.com,Kevin Young,,11/15/16,,Webdispatcher Testing from 8 pm - 8:30 pm,The District's website will be unavailable,ERP / SAP,,To get the district's website off of F5,Security,Kevin Young,"1. Remove District's website from F5
2. Make necessary DNS changes
3. Test outside internet traffic",TRUE
,Completed,11/07/16 8:18 AM,web-form@smartsheet.com,Kevin Young,,11/11/16,,Readsoft Production Go-Live,Users will be unavailable to access Readsoft during this period,ERP / SAP,,Upgrade to latest Readsoft version,Enhancement,Kevin Young,"Transport Readsoft transports into Production.
Migrate Readsoft Production Data to SQLServer",
,Completed,11/04/16 1:53 PM,web-form@smartsheet.com,LaShun Osborn,,11/09/16,,Reboot to apply Windows Update to SQL01TA server @12pm. Approval per listed admin contact provided in Supporting Documentation. Dev system.,Developers using system for SQL testing.,Network Operations (Server / SAN),,Ensure system is up-to-date on Windows system patches.,Fix / Patch,Ervin Cheng,"1) Install Windows Updates.
2) Reboot
3) Apply additional patches, if necessary.
...

BACK OUT PLAN:
Recover system from SAN snapshot
....",
,Completed,11/04/16 1:50 PM,web-form@smartsheet.com,LaShun Osborn,,11/09/16,,Reboot to apply Windows Update to SQLEXT01A server @12pm. Approval per listed admin contact provided in Supporting Documentation. Dev system.,"Per admin, server not currently in use, test/dev system.",Network Operations (Server / SAN),,Ensure system is up-to-date on Windows system patches.,Fix / Patch,Ervin Cheng,"1) Install Windows Updates.
2) Reboot
3) Apply additional patches, if necessary.
...

BACK OUT PLAN:
Recover system from SAN snapshot
....",
,Completed,11/01/16 2:47 PM,web-form@smartsheet.com,Kevin Young,,11/02/16,,Webdispatcher Testing at 8:00 pm,District Portal and ESS will be unavailable.,ERP / SAP,,Testing software that will potentially allow for the removal of F5,New Implementation,Kevin Young,"1. Change the NAT on the firewall from F5 to the new Webdispatcher for outside testing.
2. Record the results of outside testing
3. After testing change the NAT back to F5",TRUE
,Completed,11/01/16 9:37 AM,web-form@smartsheet.com,LaShun Osborn,,11/01/16,,Reboot to apply Windows Update to SIGMDB server @10am. Approval per HR contact provided in Supporting Documentation.,SIGMADB (HR).,Network Operations (Server / SAN),,Ensure system is up-to-date on Windows system patches.,Fix / Patch,Ervin Cheng,"1) Install Windows Updates.
2) Reboot
3) Apply additional patches, if necessary.
...

BACK OUT PLAN: 
Recover system from SAN snapshot
....",
,Completed,10/25/16 2:26 PM,web-form@smartsheet.com,Roger Smith,,10/31/16,,Install Oracle EM Express,"Police DB, gate system",Multi-Team (Indicate groups in Additional Information),,install Oracle EM Express,Fix / Patch,Roger Smith,"1) shutdown DB at 5:00 PM
2) snapshot system 
3) install EM Express
4) bring Oracle up
5) test Oracle and applications

BACK OUT PLAN: revert back to snapshot
....",
,Completed,10/20/16 9:23 AM,web-form@smartsheet.com,Kevin Young,,10/29/16,,Disaster Recovery System Reboots with Patching,No user impact. Our Disaster Recovery system will be down during the reboots,ERP / SAP,,Preventive Maintenance. Microsoft best practice is to reboot Windows Servers monthly,Preventive,Kevin Young,"Shutdown Order
a.	MWRDECCDR0
b.	MWRDECCDR1
c.	MWRDECCDR2
d.	MWRDNBWDR1
e.	MWRDBOBDR1
f.	MWRDCEPDR1
g.	MWRDPBFDR1
h.	MWRDNDIDR1
i.	MWRDNEPDR0
j.	MWRDNEPDR1
k.	MWRDNEPDR2
l.	MWRDDRDB
Restart Order
m.	MWRDDRDB
n.	MWRDECCDR0
o.	MWRDECCDR1
p.	MWRDECCDR2
q.	MWRDNBWDR1
r.	MWRDBOBDR1
s.	MWRDCEPDR1
t.	MWRDPBFDR1
u.	MWRDNDIDR1
v.	MWRDNEPDR0
w.	MWRDNEPDR1
x.	MWRDNEPDR2",
,Completed,10/03/16 4:04 PM,web-form@smartsheet.com,Richard Wojkovich,,10/27/16,,Replace 3750 WAN switch at Calumet Water Reclamation Plant with new ISR router,Administrative data and voice network will be down during replacement window (3:30 pm - 7:00 pm).,Network Infrastructure,,Enhance WAN throughput by replacing antiquated equipment.,Enhancement,Ethan Warren,"1) Rack/Install new pre-configured router.
2) Backup configuration of existing router and local switch.
3) Make necessary changes to existing local switch to enable connectivity to new router.
4) Move wired connection from existing WAN switch to new router and test connectivity to ASE network.
5) Connect local switch to router and test connectivity.
...
BACK OUT PLAN: Return WAN connection to old 3750 switch, reprogram local switch with original configuration and ensure connectivity to WAN is restored.",
,Completed,10/18/16 12:49 PM,web-form@smartsheet.com,Thomas Muscarello,,10/22/16,,The network section will re-route fiber from old equipment racks to a new dedicated cabling rack.  Going fwd all cabling run to the 2nd floor telephone room will be terminated in a dedicated rack prior to interfacing with equipment.  Cabling will adhere to structured wiring standards and procedures.,"Internet and WAN will be down during this period. As a result, the following systems will be impacted; MWRDGC Voicemail, Phone Directory, 5 digit dialing, Computer Network, Citrix, 	Internet, Network Storage, File Servers (All), Portal, MMS, IPACS, LIMS, GIS, Jobs, Email, SAP, PBF.",Network Infrastructure,,The purpose is to organize all cabling (copper & fiber) into a centralized rack and also free up additional space for new core networking equipment (6800).,Enhancement,Thomas Muscarello,"1) Prep new racks for install. Label and prep all fiber & copper cabling to be moved.
2)disconnect and reroute cabling to new rack
3)test communication to confirm everything is operational 
...

BACK OUT PLAN: 
....re-rack cable distribution equipment in old rack.",TRUE
